Endeca element name	Endeca dmod spreadsheet name
Access	Access
Access Facet	Access Facet
Access Restrictions	Access Restriction
Author	Author
Availability	Availability
Biographical Sketch	Biographical Sketch
Call Number	Call Number
Call Number Range	Call Number Range
Call Number Sort	Call Number Sort
Cartographic Data	Cartographic Data
Circulation Level	Circulation Level
Class Schemes	Class Schemes
Collective Uniform Title	Collective Uniform Title
Company	Company
Constituent Unit Linking	Constituent Unit Linking
Copyright	Copyright
Copyright Statement	Copyright Statement
Cumulative Indexes	Cumulative Indexes
Current Frequency	Current Frequency
DateCataloged	DateCataloged
Digital Collection	Digital Collection
Director	Director
Distribution Statement	Distribution Statement
Distributor	Distributor
DocType	DocType
Donor	Donor
EAD Access Restrictions	EAD Access Restrictions
EAD Acquisitions Info	EAD Acquisitions Info
EAD Biographical History	EAD Biographical History
EAD Element Flag	EAD Element Flag
EAD Element List	EAD Element List
EAD ID	EAD ID
EAD Overview	EAD Overview
EAD Preferred Citation	EAD Preferred Citation
EAD Scope Content	EAD Scope Content
EAD Unit Title	EAD Unit Title
EAD Use Restrictions	EAD Use Restrictions
Earlier Title	Earlier Title
Edition	Edition
Finding Aid URL	Finding Aid URL
Format	Format
Former Frequency	Former Frequency
Genre	Subject: Genre
Has Supplement Linking	Has Supplement Linking
Holdings Note	HoldingsNote
Host Item Linking	Host Item Linking
ICE Chapter Author	ICE Chapter Author
ICE Chapter Title	ICE Chapter Title
Imprint	Imprint
Indexed Notes	Indexed Notes
Institution	Institution
ISBN	ISBN
ISSN	ISSN
Item Due Date	ItemDueDate
Item ID	Item ID
Item Notes	ItemNotes
Item Types	ItemTypes
Journal Earlier Title	Journal Earlier Title
Journal Later Title	Journal Later Title
Journal Title Abbreviation	Journal Title Abbreviation
Journal Title Index	Journal Title Index
Journal Uniform Title	Journal Uniform Title
Journal Varying Title	Journal Varying Title
Language	Language
Later Title	Later Title
Libraries	Libraries
Linking ISSN	Linking_ISSN
Local System Number	Local System Number
LocalId	LocalId
Location	Location
Location property	Location_property
Main Author	Main Author
Main Series Linking	Main Series Linking
Main Title	Main Title
Main Uniform Title	Main Uniform Title
Manufacturer	Manufacturer
Manufacturer Statement	Manufacturer Statement
Material	Material
Material Details	Material Details
Medical Subject	Medical Subject: Topic
Most Recently Arrived	Most Recently Arrived
Musical Presentation	Musical Presentation
Name Title	Name Title
New Titles	New Titles
Notes	Notes
OCLCNumber	OCLCNumber
Organization	Organization
Other Author Translation	Other Author Translation
Other Authors	Other Authors
Other Edition	Other Edition
Other Format	Other Format
Other LocalId	Other LocalId
Other Title Translation	Other Title Translation
Other Titles	Other Titles
Performer Credits	Performer Credits
Primary Source	Primary Source
Primary URL	Primary URL
Producer	Producer
Product	Product
Production Credits	Production Credits
Production Statement	Production Statement
PubDateSort	PubDateSort
Publication Year	Publication Year
Published	Published
Publisher	Publisher
Publisher Number	Publisher Number
Region	Subject: Region
Related Collections	Related Collections
Repository URL	Repository URL
Rollup	Rollup
Secondary URL	Secondary URL
Serial Holdings Summary	SerialHoldingsSummary
Series	Series
Series ISSN	Series ISSN
Series Statement	Series Statement
Series Title Index	Series Title Index
SharedRecordFlag	SharedRecordFlag
Sound Recording Imprint	Sound Recording Imprint
Source	Source
Source of Acquisition	Source of Acquisition
Statement of Responsibility	Statement of Responsibility
Statuses	Statuses
Subject	Subject: Subject
Subject Headings	Subject Headings
Subjects	Subjects
Subseries Linking	Subseries Linking
Summary	Summary
Supplement to Linking	Supplement to Linking
Syndetics ISBN	Syndetics_ISBN
System Details	System Details
Table of Contents	Table of Contents
Table of Contents author index	Table of Contents author index
Thumbnail URL	Thumbnail URL
Time Period	Subject: Time Period
Title Index	Title Index
Title Sort	Title Sort
Tracking Tag	Tracking Tag
Translated as Linking	Translated as Linking
Translation of Linking	Translation of Linking
Troubleshooting	Troubleshooting
Uncontrolled Author	Uncontrolled Author
Uncontrolled Subject	Uncontrolled Subject
Uniform Title	Uniform Title
UniqueId	UniqueId
UPC	UPC
Varying Titles	Varying Titles
Volumes	Volumes
